ImageFile,PredictedHasPlate,CropsFound,CropsWithText,OCRText,OCRConfidence
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\55_jpg.rf.f682ebc4c20617d849d07c424a14a5d1.jpg,1,1,1,Y3V409,0.992
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\62_jpg.rf.bcfa3904bf682bf9af57fc587943ad5e.jpg,1,1,1,116775,0.786
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\66_jpg.rf.c9becdd020db2b5859686638d813dedd.jpg,1,1,1,YA�692,0.907
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3715_JPG.rf.21f2dd8c01d4b39cf6ad0108af3e6543.jpg,1,1,1,NBV8330,0.996
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3724_JPG.rf.dc1a854dd0fd0513c98e67d4eddc516e.jpg,1,1,1,AERI225PILIPAS,0.805
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3807_JPG.rf.2f1ea4d6509ce6416f9d04ef7370a179.jpg,1,1,1,GZ1Z,0.252
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3838_JPG.rf.0ce16dbe5c407392419cf995bbbe7f1f.jpg,1,1,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3863_JPG.rf.8ea386da16ed38aaaf14f5ed14b6c69a.jpg,1,1,1,REGISTEREDZ8U045,0.994
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_3953_JPG.rf.9cd505c88fa06f7a4e638cae5c5597f8.jpg,1,1,1,S8D490,0.996
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_4032_JPG.rf.8dee286a42d31e7a816278b6b874e2c2.jpg,1,1,1,DJ11545,0.895
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_4110_JPG.rf.2ec4eb4a66600614d21959bd871f226e.jpg,1,1,1,WTH1589,0.903
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_4285_JPG.rf.17d28b73c1f10bb7ac85f6c6295050da.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\DSC_4562_JPG.rf.fbbad1b4917cbd1d3edd505bf6a032c8.jpg,1,1,1,IAE6628,0.978
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\IMG_20231011_065300_jpg.rf.b20a2da00c1938e78737b9388746eb14.jpg,1,1,1,YAB1900,0.985
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\IMG_20231011_065504_jpg.rf.c5db72a4c332d0b20755a5802f855f99.jpg,1,1,1,IAC3189,0.985
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\IMG_20231011_065619_jpg.rf.7e7faba1ce9bd3532bc6fbc9b650720e.jpg,1,1,1,GASANY,0.492
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\IMG_20231011_065750_jpg.rf.2fc35dc528a632a6c9a5edabe1b344fd.jpg,1,1,1,NAE6586,0.998
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\c9afcyqbvroa1_jpg.rf.ae95000d916d3a2b167789b0d2980c2b.jpg,1,1,1,URMYBOYEAUTUI,0.648
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\tryxge43ecaa1_jpg.rf.ee87e75c957f2614a3ad99247f37f08b.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\u4wyzxa29oka1_jpg.rf.d1dd605a189cf9da4ab95a4e1b7b7ddb.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\uvyd7aoqg9ba1_jpg.rf.1f9062e3a1d699ee0389f2611e944b8f.jpg,1,1,1,FEK-755-B,0.992
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\wqwpkf6fw4ha1_jpg.rf.d33a9a83088784e98e66372041b8f570.jpg,1,1,1,BACK256,0.973
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\x3ideauqz6ma1_jpg.rf.c56cfdfa957e059ab84645ed0bb0ba55.jpg,1,1,1,CHAEDOS,0.272
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\xg9o2ck79coa1_jpg.rf.195e032e8e6e3c37c49839794f957732.jpg,1,1,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\y2exv0huy1ma1_jpg.rf.04d5f8a426937140499c63ded86d05fa.jpg,1,1,1,D7716-AB,0.496
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\yfrjkwh4tbka1_jpg.rf.4b6273a50d100b9e7d8eed19c4865bb0.jpg,0,0,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\zpzdoej1oxfa1_jpg.rf.4669cae5f2d74ac428f63bb3182a8d68.jpg,1,1,0,N/A,0
C:\Users\sarmau\Image Recognition\License Plate Detection\License Plate Detection.v3i.voc\test\zwa92s97xzaa1_jpg.rf.b710c4e9b39b0c92196072de807ac53c.jpg,1,1,1,NUKTALL,0.991
